id_tweet,fecha_creacion,usuario,texto_original,texto_procesado,sentimiento_predicho_texto
534,2025-05-21 20:48:02,usuario_generado,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,noticia descombacant disponible,positivo
535,2025-05-21 20:48:02,usuario_generado,"Amigos/amigas.Graciaspor vuestras felicitaciones. A mis 28 años, esto se agradece.",amigosamigasgraciaspor felicitación año agradecer,positivo
536,2025-05-21 20:48:02,usuario_generado,Un homenaje en @mananascuatro a una de las voces grandes del blues que ha dicho adiós...  http://t.co/Yz1x9rBd vía @youtube,homenaje voz grande blues decir adiós vía,positivo
537,2025-05-21 20:48:02,usuario_generado,"En los suplementos del pasado fin de semana posan dos bellezas: Nieves Alvarez y Eva González. Nombres y apellidos que, al fin, se entienden",suplemento pasado fin semana posar dos belleza nieves alvarez eva gonzález nombre apellido fin entender,neutro
538,2025-05-21 20:48:02,usuario_generado,“@PacoFMarugan: Es una magnifica noticia el q los agentes acuerden salarios para los 3 próximos años.Asi se sostendrá mejor la economia”,magnifico noticia q agente acuerdir salario próximo añosasi sostener mejor economia,positivo
539,2025-05-21 20:48:02,usuario_generado,Impulsaremos ref.Ley del Menor para endurecer penas delitos contra niños y adolescentes y cumplimiento íntegro:Tod@s con la familia de Marta,impulsarer refley menor endurecer pena delito niño adolescente cumplimiento íntegrotod familia marta,negativo
540,2025-05-21 20:48:02,usuario_generado,Antes de que acabe Febrero “@javiyuris: @pedroj_ramirez Cuándo estará disponible el cine en Orbyt?”,acabar febrero cuándo disponible cine orbyt,neutro
541,2025-05-21 20:48:02,usuario_generado,Me conoces bien “@lasantacova: ¿Le gustaría a @pedroj_ ser presidente de RTVE? Se que no aceptaría el cargo; su vida es @elmundoes”,conoz bien gustar ser presidente rtve aceptar cargo vida,positivo
542,2025-05-21 20:48:02,usuario_generado,La donación de médula ósea puede salvar vidas y requiere de un proceso relativamente sencillo. #DonaMedula ( RT plis),donación médula óseo poder salvar vida requerir proceso relativamente sencillo rt pli,positivo
543,2025-05-21 20:48:02,usuario_generado,Cualquier persona con buena salud entre los 18 y los 55 años puede ser donante de médula. #DonaMedula ( RT plis),cualquiera persona buen salud año poder ser donante médula rt pli,positivo
544,2025-05-21 20:48:02,usuario_generado,Menos es más: con pequeñas colaboraciones sumamos todos #DonaMedula ( RT plis),menos pequeño colaboración sumar rt pli,positivo
545,2025-05-21 20:48:02,usuario_generado,"Todos los años se diagnostican en España 5.000 nuevos casos de leucemia, 11 cada día #DonaMedula ( RT plis )",año diagnosticar españa nuevo caso leucemia cada día rt pli,positivo
546,2025-05-21 20:48:02,usuario_generado,Para 3 de 4 pacientes encontrar un donante voluntario es a menudo la única oportunidad de curación. #DonaMedula ( RT por favor ),paciente encontrar donante voluntario menudo único oportunidad curación rt favor,positivo
547,2025-05-21 20:48:02,usuario_generado,La probabilidad de encontrar un donante de médula compatible es de 1 entre 40.000 personas. #DonaMedula ( RT por favor ),probabilidad encontrar donante médula compatible persona rt favor,positivo
548,2025-05-21 20:48:02,usuario_generado,Hoy somos nosotros. Mañana puedes ser tú. #DonaMedula ( RT por favor),hoy mañana poder ser rt favor,positivo
549,2025-05-21 20:48:02,usuario_generado,Ponencia de Economía que presentamos al Congreso Nacional del Partido Popular... con los #emprendedores http://t.co/41OJc2ji,ponencia economía presentar congreso nacional partido popular,neutro
550,2025-05-21 20:48:02,usuario_generado,Lo reconozco: siento mucha envidia de los q están en @madridfusion !! Y yo maquillado como una puerta!!!;))) ALGÚN DÍA...,reconocer siento mucho envidia q maquillado puerta alguno día,positivo
551,2025-05-21 20:48:02,usuario_generado,Gracias Jose Manuel ;-)) RT @jmatencia: . @jmatencia Me ayudas Jose Manuel ? http://t.co/iNoUlER2 #DonaMedula,gracias jo él manuel rt ayudar jo él manuel,positivo
552,2025-05-21 20:48:02,usuario_generado,Quedan 2 minutos! Vamos a hacer #DonaMedula TT !!! http://t.co/iNoUlER2 ( RT plis ),quedar minuto ir hacer tt rt pli,positivo
553,2025-05-21 20:48:02,usuario_generado,Gracias mil RT @ana_lorenzo: “@mariviromero: . @ana_lorenzo Me ayudas Ana ? http://t.co/iNoUlER2 #DonaMedula” #recomendar,gracias mil rt ayudar án,positivo
554,2025-05-21 20:48:02,usuario_generado,Gracias ! RT @Algabii: Quedan 2 minutos! Vamos a hacer #DonaMedula TT !!! http://t.co/iNoUlER2 ( RT plis ),gracias rt quedar minuto ir hacer tt rt pli,positivo
555,2025-05-21 20:48:02,usuario_generado,La donación de médula ósea puede salvar vidas y requiere de un proceso relativamente sencillo. #DonaMedula,donación médula óseo poder salvar vida requerir proceso relativamente sencillo,negativo
556,2025-05-21 20:48:02,usuario_generado,"«Afortunadamente el estado de derecho funciona», Diariovasco.tv: http://t.co/TCnK6umf",afortunadamente derecho funcionar diariovascotv,neutro
557,2025-05-21 20:48:02,usuario_generado,Feijóo propone cambiar el sistema farmacéutico para que paguen más quienes más ganan. Entrevista en @servimedia http://t.co/CgIDr6qu,feijóo proponer cambiar sistema farmacéutico pagar ganar entrevista,negativo
558,2025-05-21 20:48:02,usuario_generado,Gracias a todos. Acabo de soportar en la Audiencia Nacional un desagradable interrogatorio de Goiricelaya. Parecía el acusado.,gracias acabar soportar audiencia nacional desagradable interrogatorio goiricelaya parecer acusado,negativo
559,2025-05-21 20:48:02,usuario_generado,El Supremo pagaría por librarse del caso Garzón por el franquismo. @mrtfernandez sacará a debate el nuevo juicio y habrá más...,supremo pagar librar él caso garzón franquismo sacar debate nuevo juicio,negativo
560,2025-05-21 20:48:02,usuario_generado,La acusación particular pide al Supremo la nulidad para celebrar un nuevo juicio #MartaDelCastillo http://t.co/HkRsvEku,acusación particular pedir supremo nulidad celebrar nuevo juicio,negativo
561,2025-05-21 20:48:02,usuario_generado,Gracias Nacho! RT @naxob A todos mis amigos periodistas. Feliz #diadelosperiodistas @EvaORegan,gracias nacho rt amigo periodista feliz,positivo
562,2025-05-21 20:48:02,usuario_generado,millones de gracias a todos y mi mas sincera enhorabuena a @ceslava : #DonaMedula ha sido TT MUNDIAL ;-)))),millón gracias mas sincero enhorabuena ser tt mundial,positivo
563,2025-05-21 20:48:02,usuario_generado,"De verdad que es lamentable ver a politicos malagueños, diciendo  aqui primero que el dialogo les encanta...y tuitean solo frases hechas....",verdad lamentable ver politico malagueño decir aqui  primero dialogo encantay tuiteir solo frase hecho,neutro
564,2025-05-21 20:48:02,usuario_generado,"Luis de Velasco:""Aguirre quiere crear la república independiente de juegolandia"" http://t.co/r3gQL2qF",luis velascoaguirre querer crear república independiente juegolandia,positivo
565,2025-05-21 20:48:02,usuario_generado,@mgilguerrero @alonso_dm Entiendo perfectamente lo que dices,entender perfectamente decir,negativo
566,2025-05-21 20:48:02,usuario_generado,Buenas tardes a todos. Penúltimo entrenamiento antes de la vuelta de Copa. Todo en orden y con muchas ganas de que llegue mañana.,buena tarde penúltimo entrenamiento vuelta copa orden mucho gana llegar mañana,positivo
567,2025-05-21 20:48:02,usuario_generado,@nuriapr10 @MarisolAlvarezA  Feliz #diadelosperiodistas compañeras. Por tantos años de vocación compartida :),feliz compañera tanto año vocación compartido,positivo
568,2025-05-21 20:48:02,usuario_generado,"Concluyo con este. El mister y yo luchamos x los mismos intereses y junto con el equipo, iremos todos a muerte. Hala madrid..!!",concluyo mister luchar x mismo interés junto equipo ir muerte hala madrid,neutro
569,2025-05-21 20:48:02,usuario_generado,"El Jeme sobre la evolución de la relación entre prensa y Ejército: ""Vosotros sois nuestros medios y nosotros, vuestro Ejército""",jeme evolución relación prensa ejército medio ejército,neutro
570,2025-05-21 20:48:02,usuario_generado,Me alegra mucho que Rafa Nadal le haya ganado al chulo de Berdych.,alegrar rafar nadal ganar chulo berdych,positivo
571,2025-05-21 20:48:02,usuario_generado,"Mou en estado puro se pasa el sentir popular por el arco de la portería: ""Si Pepe está bien físicamente, jugará"" http://t.co/Sm90R9yK",mou puro pasar sentir popular arco portería si pepe bien físicamente jugar,positivo
572,2025-05-21 20:48:02,usuario_generado,Estamos pendientes del segundo juicio a Garzón en el Supremo.También en el TD1 primera visita del nuevo ministro del interior al País Vasco.,pendiente segundo juicio garzón supremotambién td primero visita nuevo ministro interior país vasco,neutro
573,2025-05-21 20:48:02,usuario_generado,A poner gasolina que llevo dos días con la reserva encendida... ;-)) (@ Gasolinera BP Ciudad Jardin) http://t.co/LpRvhMIh,poner gasolina llevar dos día reserva encendido gasolinero bp ciudad jardin,negativo
574,2025-05-21 20:48:02,usuario_generado,"Me encantaron, Cristina. Salimos muy bien :)) “@CristinaHMateos: @pedroj_ramirez Pedro, te llegaron las fotos?!”",encantar cristina salir bien pedro llegar foto,positivo
575,2025-05-21 20:48:02,usuario_generado,: El compositor español Alberto Iglesias logra una nominación a los Oscar,compositor español alberto iglesias lograr nominación oscar,positivo
576,2025-05-21 20:48:02,usuario_generado,Hoy día de belleza!!Toca dedicarme a mi!!,hoy día bellezatoca dedicar yo,neutro
577,2025-05-21 20:48:02,usuario_generado,"Enhorabuena, Fernando y Cristina #aunquenololeáis",enhorabuena fernando cristín,positivo
578,2025-05-21 20:48:02,usuario_generado,#AndaluciaImparable otra gran gestion del gran @reciomanolo  http://t.co/14QxOemO,gran gestion gran,positivo
579,2025-05-21 20:48:02,usuario_generado,Mas inversiones para la provincia de #Malaga . Enhorabuena @eliasbendodo y @oblader @diputacionMLG  http://t.co/65gLkidB,ma inversión provincia enhorabuena,positivo
580,2025-05-21 20:48:02,usuario_generado,Mas inversiones para una #Malaga sostenible . Enhorabuena @eliasbendodo @jjbernalortiz @diputacionMLG  http://t.co/kDeSMfcX,ma inversión sostenible enhorabuena,positivo
581,2025-05-21 20:48:02,usuario_generado,"Lo dije y lo vuelvo a repetir no volveré a jugar en Europa,para todos la twitteros q me preguntáis mi destino cerca del GRAN RULO.",decir volver repetir volver jugar europapara twittero q preguntáis destino cerca gran rulo,positivo
582,2025-05-21 20:48:02,usuario_generado,"Mi destino es estar al lado de mis hijos q es lo q mas deseo ahora ,el fútbol parece q es una puerta q se cierra cada día mas.",destino lado hijo q q mas desear ahora fútbol parecer q puerta q cerrar cada día mas,negativo
583,2025-05-21 20:48:02,usuario_generado,"Hoy he ofrecido a la oposición trabajar conjuntamente por 4 pactos: Educación, Economía, Territorio y Turismo...#4Pactos",hoy ofrecer oposición trabajar conjuntamente pacto educación economío territorio turismo,neutro
584,2025-05-21 20:48:02,usuario_generado,@HartitoDeLecciones un FF para demócratas con ppios como: @Borja_Semper @abasagoiti @JavierMaroto @AlfonsoAlonsoPP,ff demócrata ppio,neutro
585,2025-05-21 20:48:02,usuario_generado,Es necesario cambiar la ley vigente y hacerla más justa ante casos como el de Marta del Castillo #todossomosmarta #sevillahoy,necesario cambiar ley vigente hacer él justo caso marta castillo,negativo
586,2025-05-21 20:48:02,usuario_generado,Seguimos... Un abrazo enorme!!!,seguir abrazo enorme,positivo
587,2025-05-21 20:48:02,usuario_generado,Ya estamos aquí!!!;))) @Juliaenlaonda !!!;) http://t.co/D5JPRY7U,aquí,neutro
588,2025-05-21 20:48:02,usuario_generado,Ha empezado la (primera) comparecencia de Vice. SaénzdeSantamaría en #Congreso. Saluda uno a uno a los diputados de Comisión Constitucional.,empezar primero comparecencia vice saénzdesantamacer saludo diputado comisión constitucional,neutro
589,2025-05-21 20:48:02,usuario_generado,La Vicresidenta anuncia cambios legales para que las radios puedan entrar en los campos de fútbol. #Congreso,vicresidenta anunciar cambio legal radio poder entrar campo fútbol,neutro
590,2025-05-21 20:48:02,usuario_generado,Me he reunido con el presidente de Club de Roma.Acertó hace años sobre los desafíos globales. Hoy es un indio emprendedor social estupendo.,reunir presidente club romaacertó hacer año desafío global hoy indio emprendedor social estupendo,positivo
591,2025-05-21 20:48:02,usuario_generado,"Jáuregui, PSOE, empieza su respuesta a Sáenz de Santamaría dandole su apoyo por los ""comentarios sobre su matrimonio""",jáuregui psoe empezar respuesta sáenz santamaría dar él apoyo comentario matrimonio,positivo
592,2025-05-21 20:48:02,usuario_generado,Soraya anunciará dentro de unos minutos algo muy importante para la regeneración democrática: la resurrección de Montesquieu.,soraya anunciar dentro minuto importante regeneración democrático resurrección montesquieu,positivo
593,2025-05-21 20:48:02,usuario_generado,Más propuestas para el debate. Muy interesantes las de los compañeros de la sectorial de Diversidad. Ya están en la web http://t.co/CKGEwA4x,propuesta debate interesante compañero sectorial diversidad web,positivo
594,2025-05-21 20:48:02,usuario_generado,"_ @Rubalcaba_ se reúne con la delegación del PSOE Granada al 38 Congreso.Con Teresa Jiménez, gran secretaria general! http://t.co/9hcPLqWz",reúnir delegación psoe granada congresocon teresa jiménez gran secretaria general,neutro
595,2025-05-21 20:48:02,usuario_generado,.@cct_online No se puede saltar a la torera la legislación para crear una gran ciudad del juego de la que no conocemos nada.,poder saltar torera legislación crear gran ciudad juego conocer,positivo
596,2025-05-21 20:48:02,usuario_generado,"#Rajoy se reune en Lisboa con el primer Ministro Portugués. Le acompañan Alvaro Nadal, dtor. de la oficina económica y Jorge Moragas",reune lisboa primero ministro portugués acompañar alvaro nadal dtor oficina económico jorge moraga,neutro
597,2025-05-21 20:48:02,usuario_generado,Es modelo telecaster pero es hecha a mano por mi amigo Carlos Rufo. Una joyita. RT @FernandoAstur: (cont) http://t.co/1CMEHCPk,modelo telecaster hacer mano amigo carlos rufo joyita rt cont,positivo
598,2025-05-21 20:48:02,usuario_generado,Como en un buen banquete lo mejor de la intervención de Soraya llegará al final. Primera alegría política frente a tristezas económicas.,buen banquete mejor intervención soraya llegar final primero alegría político frente tristeza económico,positivo
599,2025-05-21 20:48:02,usuario_generado,That's it. Orbyt a mitad de precio “@javierbrau: @pedroj_ramirez con la opción 2 puedes luego comprarte el modelo de Ipad que quieras.”,thats it orbyt mitad precio opción poder luego comprarte modelo ipad quieras,neutro
600,2025-05-21 20:48:02,usuario_generado,Gracias a tod@s “@Mas_Rubalcaba: Foto de la Plataforma pro-Rubalcaba de la Región de Murcia. #ApoyoMasRbCb http://t.co/VOYbhKrh”,gracias tod foto plataforma prorubalcar región murcia,positivo
601,2025-05-21 20:48:02,usuario_generado,De maravilla.. Feliz con el trabajo ;) RT @noe_vercher: @AlejandroSanz q tal van esa grabacion maestro??un besazo!,maravilla feliz trabajo rt q tal ir grabacion maestroun besazo,positivo
602,2025-05-21 20:48:02,usuario_generado,"Que te pare la poli para pedir papeles, y tu amiga le pida una foro: No tiene precio!!! que majo! Jaaa http://t.co/DkxX7nNV",parir poli pedir papel amiga pedir foro precio majo jaaa,positivo
603,2025-05-21 20:48:02,usuario_generado,"Gracias. Si, se que concierto dices pero esa vez era con un trompetista, verdad  RT @trizheart: (cont) http://t.co/BaW3skLy",gracias si concertar diz vez trompetista verdad rt cont,positivo
604,2025-05-21 20:48:02,usuario_generado,"un gustazo compartir programa esta noche, en @MiradaElMundo con @ccifuentes, @carloscuestaEM .",gustazo compartir programa noche,positivo
605,2025-05-21 20:48:02,usuario_generado,"“@D_DeGea: ""@Edurnity: Hoy día de belleza!!Toca dedicarme a mi!!"" Si eres lo mas bonito del mundo!!!” IYou!!!!!",hoy día bellezatoca dedicar yo si mas bonito mundo iyou,positivo
606,2025-05-21 20:48:02,usuario_generado,MARAVILLOSO FICHAJE!RT@minerpi: Minerva Piquero se incorpora como directora de Comunicación y RRPP de Aegis Media Iberiahttp://t.co/hLaV5r1,maravilloso fichajert minervo piquero incorporar directora comunicación rrpp aegis medio iberia,neutro
607,2025-05-21 20:48:02,usuario_generado,"Jajaja.. ""Cosas de la prensa""... http://t.co/e3OoTQL5",jajaja cosa prensa,neutro
608,2025-05-21 20:48:02,usuario_generado,"(1) A mí me parece q hay un maltrato a la generación q llevó nuestro país de la autarquía a la normalidad: nula remuneración ahorro,",parecer q maltrato generación q llevar país autarquía normalidad nulo remuneración ahorro,negativo
609,2025-05-21 20:48:02,usuario_generado,Sobre la propuesta de @UPyD al premio Nobel de la paz http://t.co/8srkSo9E,propuesta premio nobel paz,positivo
610,2025-05-21 20:48:02,usuario_generado,El desaire del obispo a la  Vicepresidenta del Gobierno es la  oportunidad para separar los actos civiles de los religiosos. ACONFESIONAL,desaire obispo vicepresidenta gobierno oportunidad separar acto civil religioso aconfesional,negativo
611,2025-05-21 20:48:02,usuario_generado,Gracias a todos los seguidores que hicieron que fuera TT en Argentina. Es especial a las autoras de la iniciativa!,gracias seguidor hacer tt argentina especial autora iniciativa,positivo
612,2025-05-21 20:48:02,usuario_generado,Tenemos nueva información de la discriminación del castellano en Cataluña. @TelediarioInter 20:30,nuevo información discriminación castellano cataluña,positivo
613,2025-05-21 20:48:02,usuario_generado,Alierta agradece el impulso del gobierno para fomentar la internacionalización empresarial @TelediarioInter 20:30,alierta agradecer impulso gobierno fomentar internacionalización empresarial,positivo
614,2025-05-21 20:48:02,usuario_generado,Dentro de 20' Iolanta/Perséfone en directo desde el Real. Gratis para abonados a Orbyt. Contadnos qué os parece.,dentro iolantaperséfone directo real gratis abonado orbyt contadno parecer,positivo
615,2025-05-21 20:48:02,usuario_generado,"@anapastor_tve Casi la primera entrevista en España, porque hasta ahora las ha hecho todas fuera... Enhorabuena!",casi primero entrevista españa ahora hacer todo enhorabuena,positivo
616,2025-05-21 20:48:02,usuario_generado,"Ahora valen 240, pero esta semana 119 “@cobaltogran: @pedroj_ para fin de año hubo las 3 cabeceras por 99€, mejor que esa...difícil :)”",ahora valer semana fin año cabecera mejor esadifícil,positivo
617,2025-05-21 20:48:02,usuario_generado,"Éxito Salamanca @madridfusion es de restaurantes, marcas calidad, cocineros y estudiantes hostelería. @JulioLRevueltahttp://t.co/RlV5T0o4",éxito salamanco restaurante marca calidad cocinero estudiante hosteleer,positivo
618,2025-05-21 20:48:02,usuario_generado,"Rajoy: ""queremos un mecanismo de rescate cuanto mayor mejor"". ""queremos que se de apoyo (desde Europa) a quien es serio y cumple su palabra""",rajoy querer mecanismo rescate cuanto mayor mejor querer apoyo europa serio cumplir palabra,positivo
619,2025-05-21 20:48:02,usuario_generado,"Hola a mis 300.000 tuitteros,gracias por estar siempre a mi lado,un besazo http://t.co/iRiC9o7Q",hola tuitterosgracia siempre ladoun besazo,positivo
620,2025-05-21 20:48:02,usuario_generado,"@_Rubalcaba_ ""creo q puedo ser útil a mi partido y creo q la verdad es un arma de comunicación política imbatible"". http://t.co/9Ga4RHC4",creer q poder ser útil partido creer q verdad arma comunicación político imbatible,negativo
621,2025-05-21 20:48:02,usuario_generado,La Reina acaba de sentarse en el palco real. No es muy aficionada a la ópera pero esta función es muy especial.,reina acabar sentar él palco real aficionado ópera función especial,positivo
622,2025-05-21 20:48:02,usuario_generado,"""Chico & Rita"" a los Óscars!Y con permiso de ""El gato con botas"" ese Oscar se viene para casa!Oe, oe, oe, oeeee!",chico rito óscarsy permiso gato bota oscar venir casaoe oe oe oeeeir,neutro
623,2025-05-21 20:48:02,usuario_generado,@sanchez_sonia @jsdfrancisco @salomega @pedroj_ramirez @sorayapp gracias Sonia.,gracia sonia,positivo
624,2025-05-21 20:48:02,usuario_generado,"""la recuperación del proyecto político empieza por un ejercicio de oposición solvente, útil para España"" http://t.co/cLl4O9wL",recuperación proyecto político empezar ejercicio oposición solvente útil españa,positivo
625,2025-05-21 20:48:02,usuario_generado,#Rajoy saluda el preacuerdo de sindicatos y empresarios en materia salarial como muy positivo para España.,saludar preacuerdo sindicato empresario materia salarial positivo españa,negativo
626,2025-05-21 20:48:02,usuario_generado,@_Rubalcaba_ un partido con capacidad para vertebrar la Españ autonómica.Que garantice la igualdad entre los españoles http://t.co/JCqmZ1Qz,partido capacidad vertebrar españ autonómicaque garantizar igualdad español,positivo
627,2025-05-21 20:48:02,usuario_generado,Se está bien con PSOE Granada... Clima de #cambioyunidad,bien psoe granada clima,negativo
628,2025-05-21 20:48:02,usuario_generado,"Felicidades compañera!!! @mariaescariotve, galardonada con el Premio Juan José Castillo de Periodismo: http://t.co/bGT2iXQY vía @formulatv",felicidad compañero galardonado premio juan josé castillo periodismo vío,positivo
629,2025-05-21 20:48:02,usuario_generado,Ya nos vamos al hotel a cenar y descansar para el partido de mañana. Hoy Juventus-Roma. Deja Roma!!! Bona nit,ir hotel cenar descansar partido mañana hoy juventusroma dejar roma bona nit,neutro
630,2025-05-21 20:48:02,usuario_generado,"Queda todo por hacer pero en lo referente a tener un equipo coherente y de calidad la mejor hasta ahora, creo, es la ministra @anapastorPP.",quedar hacer referente tener equipo coherente calidad mejor ahora creer ministra,positivo
631,2025-05-21 20:48:02,usuario_generado,@PabloAIglesias @salomega @sanchez_sonia @jsdfrancisco @pedroj_ramirez @sorayapp gracias pablo. Xa hablar/escribir hay q estar verdad?,gracias pablo xa hablarescribir q verdad,positivo
632,2025-05-21 20:48:02,usuario_generado,Hace unos 20 dias cambié el móvil y he tardado en reiniciar mi cuenta en tweeter. He estado sin recibir mensajes y x tanto sin contestar,hacer dia cambié móvil tardar reiniciar cuenta tweeter recibir mensaje x contestar,neutro
633,2025-05-21 20:48:02,usuario_generado,Ya nos vamos al hotel a cenar y descansar para el partido de mañana. Hoy Roma-juventus. Daje Roma!!! Bona nit,ir hotel cenar descansar partido mañana hoy romajuventu daje roma bona nit,neutro
634,2025-05-21 20:48:02,usuario_generado,Por fin @Sorayapp xa q duerma tranquilo @pedroj_ramirez cuatro horas y media despueS dice q tiene intención de cambiar el sist nomb CGPJ,fin xa q duerma tranquilo cuatro hora medio despues decir q intención cambiar sist nomb cgpj,neutro
635,2025-05-21 20:48:02,usuario_generado,Quien este en alguna de las manifestaciones de apoyo a la familia de Marta del Castillo que nos mande fotos o nos cuente.,alguno manifestación apoyo familia marta castillo mandir foto contar,positivo
636,2025-05-21 20:48:02,usuario_generado,Que grande ramón Jauregui!!! Afeando a @Sorayapp y @pedroj_ramirez.,grande ramón jauregui afear,negativo
637,2025-05-21 20:48:02,usuario_generado,Soraya acaba de anunciar la reforma de elección del CGPJ en el Congreso. En su última intervención. Nunca es tarde si la dicha es buena,sorair acabar anunciar reforma elección cgpj congreso último intervención nunca tarde si dicha buen,neutro
638,2025-05-21 20:48:02,usuario_generado,"A trabajar, hoy cosas tècnicas. Buck ups, instalacion de nuevos plug-ins y poner a punto todo el estudio de nuevo. Manos a la obra.",trabajar hoy cosa tècnica buck ups instalacion nuevo plugin poner punto estudio nuevo mano obra,neutro
639,2025-05-21 20:48:02,usuario_generado,Que tal la tarde?  que apenas he estado por aquí ;-),tal tarde apenas aquí,neutro
640,2025-05-21 20:48:02,usuario_generado,@sanchez_sonia @pmruiper No se puede ser más irrespetuoso con las formas,poder ser irrespetuoso forma,negativo
641,2025-05-21 20:48:02,usuario_generado,Está bien utilizar redes sociales para comunicar nuevo consejero transportes CAM. Mejor que convocar periodistas para leer un nombre.,bien utilizar red social comunicar nuevo consejero transportes cam mejor convocar periodista leer nombre,positivo
642,2025-05-21 20:48:02,usuario_generado,"Y, fuera d comisión (qué remedio), Jáuregui dice q el PSOE es partidario de q al org. de control de los jueces lo elija la soberanía popular",d comisión remedio jáuregui decir q psoe partidario q org control juez elijar soberanía popular,negativo
643,2025-05-21 20:48:02,usuario_generado,Y 6/ Lo que deseo sobre todo destacar es el formidable conjunto cultural y administrativo que se está creando en Tabacalera: + de 44.000 m2,deseo destacar formidable conjunto cultural administrativo crear tabacalera m,positivo
644,2025-05-21 20:48:02,usuario_generado,Un regalito para Mexico http://t.co/CClVgBZC,regalito mexico,positivo
645,2025-05-21 20:48:02,usuario_generado,@RodolfoIrago Tienes razón. No es #segunhapodidoconfirmarsoraya. Es mejor #sigueapedrojparasaberdesoraya o #140caracteresyunafiltracion.,razón mejor,positivo
646,2025-05-21 20:48:02,usuario_generado,El PP promocionando a grandes gestores: el caso de la nueva delegada http://t.co/dEOxMQcg,pp promocionar grande gestor caso nuevo delegada,positivo
647,2025-05-21 20:48:02,usuario_generado,Pues Si. Aunque de corazon habia muchas mas. RT @Conchitaruiz: @AlejandroSanz en Sevilla han sido 40000 personas! Relevante cifra,pues si aunque corazon habio mucho mas rt sevilla ser persona relevante cifro,positivo
648,2025-05-21 20:48:02,usuario_generado,Pues si :) pero para tod@s l@s que la querais escuchar. No se.. RT @Marina_pm: @AlejandroSanz ohhhh (cont) http://t.co/SKEQa2ki,pues si tod l querai escuchar rt ohhhh cont,positivo
649,2025-05-21 20:48:02,usuario_generado,Muchas gracias guApa. Ojala te guste el nuevo disco. Un abrazo hasta Canarias. RT @monihany: (cont) http://t.co/RXLyb6Ku,mucho gracia guapo ojala gustar nuevo disco abrazo canarias rt cont,positivo
650,2025-05-21 20:48:02,usuario_generado,"Alberto Iglesias, candidato al Oscar por la música de  la pelicula El topo.Me encantó.",alberto iglesia candidato oscar música pelicula topome encantar,positivo
651,2025-05-21 20:48:02,usuario_generado,"Me alegra que Orbyt te acerque tanta belleza :) “@estherfl21: @pedroj_ramirez maravillosa lolanta!!! Y subtitulada! Una pasada, gracias”",alegrar orbyt acercar tanto belleza maravilloso lolanta subtitulado pasado gracias,positivo
652,2025-05-21 20:48:02,usuario_generado,@ccifuentes gracias ;-))) mil gracias Cristina,gracias mil gracia cristín,positivo
653,2025-05-21 20:48:02,usuario_generado,Por si os interesa os dejo enlace a la entrevista que hoy he hecho en @Madridiario: http://t.co/zirVvOny,si interesar dejar enlace entrevista hoy hacer,positivo
654,2025-05-21 20:48:02,usuario_generado,¡Lo mejor de mi timeline está disponible! http://t.co/0l0HzKDb,mejor timeline disponible,positivo
655,2025-05-21 20:48:02,usuario_generado,"Hola, buenas noches a todos. Esta es la portada de hoy, 25 de enero http://t.co/E0x4dxEz",holar buena noche portada hoy enero,positivo
656,2025-05-21 20:48:02,usuario_generado,Los ojos se me cierran. Buenas noches. Que descanséis y mañana sea un buen día. :),ojo cerrar buena noche descanséis mañana buen día,positivo
657,2025-05-21 20:48:02,usuario_generado,El KIA optima impresiona tela al natural... http://t.co/AMnOhUw9,kia optima impresionar tela natural,positivo
658,2025-05-21 20:48:02,usuario_generado,Oswaldo Payá agradece a  @UPyD el apoyo a la propuesta para el Nobel de la paz http://t.co/DJiJAHdg,oswaldo payá agradecer apoyo propuesta nobel paz,positivo
659,2025-05-21 20:48:02,usuario_generado,"Las hamburguesas de butifarra de Mas Gourmets, un bocado irresistible en Madrid Fusión. http://t.co/yQs0bsFU",hamburguesa butifarra mas gourmet bocado irresistible madrid fusión,positivo
660,2025-05-21 20:48:02,usuario_generado,"A ver, sabios tuiteros, ¿qué pueden ser las ""victorias íntimas"" de las que habla Brad Pitt?",ver sabio tuitero poder ser victoria íntimo hablar brad pitt,positivo
661,2025-05-21 20:48:02,usuario_generado,RT @digitalmeteo: En digitalmeteo buscamos meteorólogo -redactor para incorporar en plantilla. Interesados: mail a emiliorey @ gmail . com,rt digitalmeteo buscar meteorólogo redactor incorporar plantilla interesado mail emiliorey gmail com,neutro
662,2025-05-21 20:48:02,usuario_generado,"Al fin, gracias Lucia. Que pesad@s son algun@s, a fuerzas quieren meterme en el ruido. Gracias (cont) http://t.co/KOH9khhn",fin gracias lucia pesad algun fuerza querer meter yo ruido gracias cont,positivo
663,2025-05-21 20:48:02,usuario_generado,"Viendo el Mirandes-Espanyol.¡Qué bueno “el banquero"" Infante! #Copadelrey",ver mirandesespanyolqué bueno banquero infante,positivo
664,2025-05-21 20:48:02,usuario_generado,Twitter se expande por Europa http://t.co/8hoqDTqX #redessociales,twitter expandir europa,neutro
665,2025-05-21 20:48:02,usuario_generado,"He pasado un rato por el concierto de @virginiamaestro en la Sala Costello... Impresionante la voz que tiene, y q presencia en el escenario!",pasar rato concierto sala costello impresionante voz q presencia escenario,neutro
666,2025-05-21 20:48:02,usuario_generado,Gol! Qué maravilla el fútbol!,gol maravilla fútbol,positivo
